企画名,団体名,#一号館,#二号館,#三号館,#四号館,#校庭,教室,紹介文,#受験生向け,#アクティビティ,#文化系企画,#理科系企画,#動画,#音楽,#パフォーマンス,#試合観戦,#飲食,#購買,@画像,企画名ふりがな,団体名ふりがな,,
受験案内,,TRUE,FALSE,FALSE,FALSE,FALSE,201・202,一年生や担当教員による受験案内を行います。受験生の方はぜひお越しください。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\中学一年A.jpeg""",じゅけんあんない,,,
中学１年生展示,中学１年生,TRUE,FALSE,FALSE,FALSE,FALSE,203・204,受験生必見のコーナー。夏の林間学校（長野・志賀高原）での作品の展示や、力作ぞろいの自由研究発表を行います。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\中学一年B.jpg""",ちゅうがく1ねんせいてんじ,ちゅうがく1ねんせい,,
羽射,バドミントン部,TRUE,FALSE,FALSE,FALSE,FALSE,205,今年もバトミントン部は射的！素敵な部員が優しく教えます！豪華(？)景品もあります！あなたのハートを狙い撃ち！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\バトミントン部.jpeg""",はねしゃ,ばとみんとんぶ,,
Labyrinth over the phantom,実行委員有志,TRUE,FALSE,FALSE,FALSE,FALSE,206,校内全体を使った謎解きゲーム、、、。張り巡らされた問題をすべて解き、爽快な気持ちで帰ることが出来るか、、、。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\実行委員有志.jpg""",Labyrinth over the phantom,じっこういいんゆうし,,
漆黒の館,卓球部,TRUE,FALSE,FALSE,FALSE,FALSE,301・302,文化祭はお化け屋敷に行かなきゃ損！行っても無事に帰ってこれるかわからないけど、、、、。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\卓球部.jpg""",しっこくのやかた,たっきゅうぶ,,
中２の現在(いま)がわかる！,中学２年生有志,TRUE,FALSE,FALSE,FALSE,FALSE,303・304,美術授業、自由研究の優秀作品、「水辺の学校」での作品の展示や、活動の様子をお伝えするビデオを上映します。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\中学二年生有志.jpg""",ちゅう2のいまがわかる,ちゅうがく2ねんせいゆうし,,
ダンス＆ディベート,21Ｒの愉快な仲間たち,TRUE,FALSE,FALSE,FALSE,FALSE,305,ども２１Ｒの愉快な仲間たちです！僕たちはこの2日間で皆様のために精一杯踊り、ディベートを激しく討論します！ぜひ見に来てください！,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\21Rの愉快な仲間たち.png""",だんすあんどでぃべーと,21Rのゆかいななかまたち,,
おいでやす,名探偵コナソ（56R）,TRUE,FALSE,FALSE,FALSE,FALSE,306,ストーリー型謎解きゲームが体験できるぞ！名探偵になった君が事件を解決してくれ！１５分程度で気軽にできます！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\名探偵コナソ.png""",あいでやす,めいたんていこなそ,,
歴史研究部,歴史研究部,TRUE,FALSE,FALSE,FALSE,FALSE,501・502,今年は「太平洋戦争」です。みなさんもあの時代を振り返ってみませんか？部員たちが熱意をもって説明いたしますので、ぜひお越しください！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\歴史研究部.png""",れきしけんきゅうぶ,れきしけんきゅうぶ,,
脱獄,罪人と呼ばれた男たち（高２有志）,TRUE,FALSE,FALSE,FALSE,FALSE,503,君たちは囚われの身だ。隠された暗号を解いて脱獄せよ。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\罪人と呼ばれた男たち.jpeg""",だつごく,ざいにんとよばれたおとこたち,,
クラブ乱舞2nd,DJ CLUB（高１有志）,TRUE,FALSE,FALSE,FALSE,FALSE,504,DJがイケてる音楽を流し、盛り上がる所です。時々ダンスも披露します！体力有り余ってる方、踊りたい方、一緒にハメ外しませんか？,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\DJ CLUB.jpg""",くらぶらんぶ2nd,DJ CLUB,,
僕らのアオハル,高2有志,TRUE,FALSE,FALSE,FALSE,FALSE,505,今年で二年目の映像劇！今年は僕らの日常を面白くまとめました。青春を勝ち取るために、、、。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\高二有志.png""",ぼくらのあおはる,こう2ゆうし,,
文具店,高1有志,TRUE,FALSE,FALSE,FALSE,FALSE,506,文房具について研究しました。あなたの知らなかったようなものも見つかるはずです。だれでも楽しめる内容になっています。,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\高一有志.jpg""",ぶんぐてん,こう1ゆうし,,
けんじゃぶ,テニス部,TRUE,FALSE,FALSE,FALSE,FALSE,508・509,今年で二十七代目になる、毎年好評のテニス部伝統のお化け屋敷です！個性豊かなお化けたちがあなたをお待ちしています！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\テニス部.jpg""",けんじゃぶ,てにすぶ,,
I♡滑雪,スキー部,TRUE,FALSE,FALSE,FALSE,FALSE,510,トランプ、UNO、ジェンガなどのテーブルゲーム、ピンボールなどやってます。景品にバルーンアート、アメがあります。ぜひお越しください。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\スキー部.jpg""",iらぶかっせつ,すきーぶ,,
写楽,制作部門,TRUE,FALSE,FALSE,FALSE,FALSE,511,最近運勢どうですか？制作部門員たちとの賭けに勝って景品を勝ち取れ！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\制作部門.png""",しゃがく,せいさくぶもん,,
Casino de balle,イベント部門有志,TRUE,FALSE,FALSE,FALSE,FALSE,512,イベント部門のカジノはほかのカジノと一味違う、、、。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\イベント部門有志.jpg""",Casino de balle,いべんとぶもんゆうし,,
Gyok Tok,52R,TRUE,FALSE,FALSE,FALSE,FALSE,512,ギョックトック半端ないって！あいつら半端ないって！輝玉祭でめっちゃおもしろいPV流すもん。そんなん出来へんやん普通、、、。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\52R.jpg""",Gyok Tok,52R,,
英語劇場　English Theater,国際学級有志,TRUE,FALSE,FALSE,FALSE,FALSE,513,国際学級生徒が英語で迫力ある演技をお届けします。プロジェクターの日本語の字幕と一緒にお楽しみください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\国際学級有志.jpeg""",えいごげきじょう　English Theater,こくさいがっきゅうゆうし,,
Escape Room,31（NOT ICE CREAM）,TRUE,FALSE,FALSE,FALSE,FALSE,611,国際学級による脱出ゲーム。与えられし時間はわずか十分。試練は三つ。無事にあなたは脱出できるだろうか。さあ、挑戦者たちよ、集え！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\31R(NOT ICE CREAM).jpg""",Escape Room,31 NOT ICE CREAM,,
Gyokuベガス,中２有志,TRUE,FALSE,FALSE,FALSE,FALSE,611,ブラックジャック、ポーカー、ルーレットなどをやってます！得点に応じて様々な景品がゲットできます！ぜひ遊びに来てください！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\中二有志.jpg""",Gyokuべがす,ちゅう2ゆうし,,
鉄道研究部,鉄道研究部,TRUE,FALSE,FALSE,FALSE,FALSE,612・613・614,鉄研は今年も大レイアウトの展示、模型の運転体験など企画多数！ぜひお越しください！※画像はイメージでも、期待は裏切りません！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\鉄道研究部.jpg""",てつどうけんきゅうぶ,てつどうけんきゅうぶ,,
